death,name,role
1924,金月梅,京剧花旦
1929,罗福山,京剧老旦
1932,李寿山,京剧净角
1937,高联奎,京剧琴师
1939,侯益隆,昆曲净角
1941,王荣山,京剧老生
1941,尹小峰,京剧净角
1947,林树森,京剧老生
1956,薛觉先,粤剧演员
1965,刘奎官,京剧花脸
1965,马健翎,戏曲作家
1966,厉慧斌,京剧净角
1970,梁益鸣,京剧老生
1976,周麟阁,梅花大鼓票友
1978,齐燕铭,戏曲编导
1978,张蝶芬,京剧旦角
1982,孙盛辅,京剧老生
1984,麦炳荣,粤剧小生
1985,高少亭,京剧老生
1987,许思言,京剧剧作者
1988,筱桂花,评剧旦角
1991,尚荣芳,京剧旦角
1992,小岚云,京韵大鼓演员
1996,李斯忠,豫剧净角
1996,王元纲,京剧武生
1996,侯玉山,北方昆曲花脸
1997,刘元彤,京剧旦角
1998,丁建中,评书演员
1999,李紫贵,京剧老生
1999,王士英,京剧生角
2000,林道修,琼剧旦角
2000,李斌植,京剧武场乐师
2001,王吟秋,京剧旦角
2002,米玉文,京剧武生
2002,纪玉良,京剧老生
2003,朱家溍,戏曲研究家
2004,李元瑞,京剧武生
2004,彭子富,曲艺演员
2005,刘志鹏,陕西快书创始人
2005,秦小梨,粤剧旦角
2005,王世续,京剧老生
2005,吴同宾,戏曲理论家
2006,王琴生,京剧老生
2006,张元奎,京剧净角
2006,许东升,京剧票友
2006,曹同凯,京剧鼓师
2006,朱文相,戏曲理论家
2007,杨荣斌,京剧老生
2007,李兴堂,济南皮影戏艺师
2007,朱国玲,川剧教师
2007,陈圻,婺剧导演
2007,张筱贤,京剧老生
2007,王蔼民,秦腔武生
2007,阎世善,京剧武旦
2009,高笑林,相声演员
2009,黄云鹏,京剧武生
2009,郝艳芳,西河大鼓演员
2009,杨瑞库,相声演员
2010,张惠新,昆曲度曲家
2010,徐进,越剧编剧
2010,祁荣雯,京剧小生
2011,瞿剑英,苏州评弹弹词演员
2011,王泳泉,京剧琴师
2011,刘雪涛,京剧小生
2011,胡仲仁,相声演员
2011,王景明,评剧丑角
2012,陈楚蕙,潮剧小生
2012,尹少桐,京剧丑角
2012,李甫春,京剧老生
2013,缪以煊,相声演员
2013,新艳琴,评剧旦角
2013,张君谋,苏州弹词演员
2013,付振江,相声演员
2013,黄佩珠,西河大鼓
2014,杨双赫,京剧老生
2014,杨博森,京剧净角
2014,高绍清,山东快书演员
2014,王克图,京剧琴师
2014,孔宪珠,粤剧演员
2014,郎德沣,相声创作者
2014,那正鑫,京剧武生
2015,傅马潮,绍剧老生兼花脸
2015,费名琰,京剧琴师
2015,柳青,歌仔戏小生
2015,陈增堃,京剧教师
2016,厉慧福,京剧净角
1889,张云亭,京剧老旦
1919,阎金福,京剧老旦
1919,李顺亭,京剧老生
1921,张淇林,京剧武生
1921,张紫仙,昆曲旦角
1932,杨孝芳,京剧武生
1938,锡子刚,京剧文场
1941,苏雨卿,京剧青衣
1956,吴鸣申,京剧武生
1961,郝寿臣,京剧净角
1968,雷喜福,京剧老生
1968,田汉,戏曲作家
1971,王庾生,京剧票友
1976,韩世昌,昆曲旦角
1976,姚水娟,越剧旦角
1977,钱富川,京剧武生
1977,奚啸伯,京剧老生
1982,曹艺斌,京剧文武老生
1982,孟遏云,秦腔旦角
1984,言少朋,京剧老生
1984,马最良,京剧老生
1986,黄益安,京剧武生
