born,name,role
1964,胡小毛,京剧武丑
1978,齐春雷,越剧小生
1980,包玥,京剧票友
1981,傅希如,京剧武生
1981,于会江,京韵大鼓演员
1981,何云伟,相声演员
1813,黄三雄,京剧丑角
1832,徐小香,京剧小生
1837,朱莲芬,昆曲旦角
1848,沈芷秋,昆曲旦角
1853,王金兰,京剧青衣
1857,方秉忠,京剧笛师
1859,张蓝田,京剧青衣
1861,张菊秋,昆曲旦角兼青衣
1864,田际云,京剧花旦
1866,田桂凤,京剧花旦
1867,刘春喜,京剧老生
1868,余玉琴,京剧花旦
1890,常澍田,单弦八角鼓演员
1894,洪深,戏曲剧作者
1895,周信芳,京剧老生
1899,张寿臣,相声演员
1899,老舍,京剧
1900,荀慧生,京剧旦角
1900,尚小云,京剧旦角
1901,李海泉,粤剧丑生
1902,金开芳,评剧旦角
1911,吴本贞,晋剧生角
1913,王玉蓉,京剧旦角
1913,任剑辉,粤剧文武生
1917,辜振甫,京剧票友
1917,潘鼎新,京剧老生
1917,萧盛萱,京剧丑角
1921,毛世来,京剧旦角
1921,尹月樵,京剧老生
1921,杨沔,京剧研究家
1921,邢松岩,京剧票友
1921,阎立品,豫剧旦角
1923,胡仲仁,相声演员
1924,范瑞娟,越剧小生
1924,罗荣庭,京剧老生
1924,陈圻,婺剧导演
1924,红线女,粤剧旦角
1925,张慧声,苏州评弹弹词演员
1926,关正明,京剧老生
1926,程之,京剧票友
1927,裘绿琴,越剧小生
1927,梅兰珍,锡剧旦角
1927,米玉文,京剧武生
1927,云燕铭,京剧旦角
1928,于质彬,京剧史家
1929,周筱芳,淮剧小生
1929,夏韵龙,京剧净角
1929,新凤霞,评剧青衣
1929,桑振君,豫剧旦角
1930,徐双飞,滑稽戏演员
1931,林建华,吕剧旦角
1932,于世德,相声演员
1932,武筱凤,淮剧旦角
1933,吕瑞英,越剧旦角
1933,林家声,粤剧文武生
1938,刘文亨,相声演员
1940,孙毓敏,京剧花旦
1943,蔡瑶铣,昆曲演员
1943,柳青,歌仔戏小生
1944,刘兰芳,评书演员
1947,刘玉玲,河北梆子旦角
1947,萧润年,京剧丑角
1953,言兴朋,京剧老生
1956,笑林,相声演员
1957,冯巩,相声演员
1958,徐惠新,苏州弹词演员
1958,张巨萍,京剧旦角
1959,高秀敏,二人转演员
1961,宋小川,京剧小生
1969,于谦,相声演员
1972,魏春荣,昆曲闺门旦
1973,郭德纲,相声演员
1976,李阳鸣,京剧武生
1982,苗阜,相声演员
1984,曹云金,相声演员
1909,白凤鸣,京韵大鼓演员
1917,赵炳啸,京剧净角
1947,耿其昌,京剧老生
1925,蔡宝华,京剧武生
1922,贺永华,京剧净角
