剧目,二黄原板,二黄慢板,二黄导板,二黄散板,二黄摇板,二黄平板,反二黄原板,反二黄慢板,反二黄导板,反二黄散板,反二黄摇板,西皮原板,西皮慢板,西皮导板,西皮散板,西皮摇板,西皮快三眼,西皮二六,西皮流水,西皮快板,反西皮二六,反西皮散板,反西皮摇板
柴桑口,1,1,0,0,8,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
宋江闹院,0,0,0,0,2,23,0,0,0,0,0,1,0,1,0,2,0,0,0,7,0,0,
李陵碑,10,1,4,0,5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
祭长江,0,3,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
探寒窑,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,14,0,1,3,0,0,0,
落花园,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,15,0,1,0,0,0,0,
探阴山,4,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
打金枝,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,15,0,3,1,5,0,0,
八义图【三本】,12,0,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
鱼肠剑,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,1,1,8,0,0,
钓金龟,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
梅龙镇,0,0,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,
白门楼,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,2,0,5,0,0,
华容道,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,6,0,0,1,9,0,0,
宇宙锋,0,5,0,0,0,0,0,5,0,0,0,0,1,0,10,3,0,0,0,0,0,0,
取帅印,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,31,0,2,4,5,0,0,
打渔杀家,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,25,0,0,0,2,0,0,
黑风帕,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,36,0,0,0,13,0,0,
目莲救母,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
红鸾禧,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,4,0,0,0,0,0,0,
白状元祭塔,0,2,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
琼林宴【前本】,6,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
群英会,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,31,0,0,0,3,0,0,
桑园会,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,26,1,4,9,13,0,0,
拾黄金,1,0,0,0,1,0,0,0,0,0,0,2,2,3,0,1,0,0,3,0,0,0,
辕门斩子,0,0,0,0,0,0,0,0,0,0,0,26,2,2,0,39,0,0,0,20,0,0,
断太后,6,1,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,7,0,0,
打龙袍,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,12,0,3,1,11,0,0,
战蒲关,5,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斩黄袍,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,55,0,1,7,20,0,0,
彩楼配,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,0,2,0,9,0,0,
滑油山,5,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
富春楼,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,5,0,0,0,0,
阴阳河,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,
打花鼓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
独木关,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
丑表功,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
逍遥津,1,0,3,0,32,0,0,0,0,0,0,1,0,1,3,2,0,0,0,1,0,0,
盗宗卷,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,
辕门射戟,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,9,0,0,0,8,0,0,
取荥阳,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,25,0,9,0,14,0,0,
大保国,24,2,0,0,20,0,0,0,0,0,0,5,0,0,0,1,0,0,0,17,0,0,
忠孝全,0,15,3,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
双投唐,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,39,1,1,0,31,0,0,
飞虎山,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,3,0,22,0,0,
女起解,0,1,0,0,0,0,0,1,0,0,0,14,3,1,0,1,0,0,1,1,0,0,
遗翠花,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,8,0,0,0,1,0,0,
新安驿,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
小上坟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
武家坡,0,0,0,0,0,0,0,0,0,0,0,17,1,4,0,21,0,2,2,17,0,0,
浣纱记,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,1,1,2,0,0,
天雷报,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沙陀国,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,30,0,0,0,0,0,0,
六月雪,0,3,2,0,19,0,0,2,0,0,1,1,0,1,0,2,0,0,0,1,0,0,
二进宫,30,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三堂会审,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,14,0,2,18,1,0,0,
孝感天【二本】,2,5,2,0,5,0,0,3,1,0,3,0,0,1,2,15,0,0,0,3,0,0,
御碑亭,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,64,0,2,0,7,0,0,
回荆州,0,0,0,0,0,0,0,0,0,0,0,27,7,2,0,0,0,0,0,3,0,0,
海潮珠,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,9,0,0,0,2,0,0,
双摇会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,
胭脂虎,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,4,0,0,
审李七,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,
大劈棺,0,0,0,0,0,0,0,0,0,0,0,32,4,2,0,0,0,0,0,0,0,0,
柳林池,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,10,0,0,0,2,0,0,
连营寨,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,13,0,2,0,0,2,0,
战长沙,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,33,0,1,0,16,0,0,
草桥关,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
九更天,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,
状元谱,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,14,0,0,0,0,0,0,
叹皇陵,12,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
定军山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,2,0,19,0,0,
宝莲灯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
宝莲灯,6,3,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
连环套【三本】,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,
落马湖,2,0,1,0,2,0,0,0,0,0,0,2,0,3,0,29,0,0,0,6,0,0,
