records	Author	journal	year	type	NCR
465	Shapiro, Irving M	AUTOPHAGY	2012	Review	884
465	Shaulian, Eitan	AUTOPHAGY	2012	Review	884
465	Shaw, Reuben J	AUTOPHAGY	2012	Review	884
465	Shelhamer, James H	AUTOPHAGY	2012	Review	884
465	Shen, Han-Ming	AUTOPHAGY	2012	Review	884
465	Shen, Wei-Chiang	AUTOPHAGY	2012	Review	884
465	Sheng, Zu-Hang	AUTOPHAGY	2012	Review	884
465	Shi, Yang	AUTOPHAGY	2012	Review	884
465	Shibuya, Kenichi	AUTOPHAGY	2012	Review	884
465	Shidoji, Yoshihiro	AUTOPHAGY	2012	Review	884
465	Shieh, Jeng-Jer	AUTOPHAGY	2012	Review	884
465	Shih, Chwen-Ming	AUTOPHAGY	2012	Review	884
465	Shimada, Yohta	AUTOPHAGY	2012	Review	884
465	Shimizu, Shigeomi	AUTOPHAGY	2012	Review	884
465	Shintani, Takahiro	AUTOPHAGY	2012	Review	884
465	Shirihai, Orian S	AUTOPHAGY	2012	Review	884
465	Shore, Gordon C	AUTOPHAGY	2012	Review	884
465	Sibirny, Andriy A	AUTOPHAGY	2012	Review	884
465	Sidhu, Stan B	AUTOPHAGY	2012	Review	884
465	Sikorska, Beata	AUTOPHAGY	2012	Review	884
465	Silva-Zacarin, Elaine C. M	AUTOPHAGY	2012	Review	884
465	Simmons, Alison	AUTOPHAGY	2012	Review	884
465	Simon, Anna Katharina	AUTOPHAGY	2012	Review	884
465	Simon, Hans-Uwe	AUTOPHAGY	2012	Review	884
465	Simone, Cristiano	AUTOPHAGY	2012	Review	884
465	Simonsen, Anne	AUTOPHAGY	2012	Review	884
465	Sinclair, David A	AUTOPHAGY	2012	Review	884
465	Singh, Rajat	AUTOPHAGY	2012	Review	884
465	Sinha, Debasish	AUTOPHAGY	2012	Review	884
465	Sinicrope, Frank A	AUTOPHAGY	2012	Review	884
465	Sirko, Agnieszka	AUTOPHAGY	2012	Review	884
465	Siu, Parco M	AUTOPHAGY	2012	Review	884
465	Sivridis, Efthimios	AUTOPHAGY	2012	Review	884
465	Skop, Vojtech	AUTOPHAGY	2012	Review	884
465	Skulachev, Vladimir P	AUTOPHAGY	2012	Review	884
465	Slack, Ruth S	AUTOPHAGY	2012	Review	884
465	Smaili, Soraya S	AUTOPHAGY	2012	Review	884
465	Smith, Duncan R	AUTOPHAGY	2012	Review	884
465	Soengas, Maria S	AUTOPHAGY	2012	Review	884
465	Soldati, Thierry	AUTOPHAGY	2012	Review	884
465	Song, Xueqin	AUTOPHAGY	2012	Review	884
465	Sood, Anil K	AUTOPHAGY	2012	Review	884
465	Soong, Tuck Wah	AUTOPHAGY	2012	Review	884
465	Sotgia, Federica	AUTOPHAGY	2012	Review	884
465	Spector, Stephen A	AUTOPHAGY	2012	Review	884
465	Spies, Claudia D	AUTOPHAGY	2012	Review	884
465	Springer, Wolfdieter	AUTOPHAGY	2012	Review	884
465	Srinivasula, Srinivasa M	AUTOPHAGY	2012	Review	884
465	Stefanis, Leonidas	AUTOPHAGY	2012	Review	884
465	Steffan, Joan S	AUTOPHAGY	2012	Review	884
465	Stendel, Ruediger	AUTOPHAGY	2012	Review	884
465	Stenmark, Harald	AUTOPHAGY	2012	Review	884
465	Stephanou, Anastasis	AUTOPHAGY	2012	Review	884
465	Stern, Stephan T	AUTOPHAGY	2012	Review	884
465	Sternberg, Cinthya	AUTOPHAGY	2012	Review	884
465	Stork, Bjoern	AUTOPHAGY	2012	Review	884
465	Stralfors, Peter	AUTOPHAGY	2012	Review	884
465	Subauste, Carlos S	AUTOPHAGY	2012	Review	884
465	Sui, Xinbing	AUTOPHAGY	2012	Review	884
465	Sulzer, David	AUTOPHAGY	2012	Review	884
465	Sun, Jiaren	AUTOPHAGY	2012	Review	884
465	Sun, Shi-Yong	AUTOPHAGY	2012	Review	884
465	Sun, Zhi-Jun	AUTOPHAGY	2012	Review	884
465	Sung, Joseph J. Y	AUTOPHAGY	2012	Review	884
465	Suzuki, Kuninori	AUTOPHAGY	2012	Review	884
465	Suzuki, Toshihiko	AUTOPHAGY	2012	Review	884
