Author,year,Number,meanIF,medianIF,sdIF
Li-Wei,2011,4,8.079,7.2665,5.70472838967816
Li-Wei,2012,8,7.197375,4.989,4.61873547745639
Li-Wei,2013,6,10.8938333333333,6.5975,11.0813924651493
Li-Wei,2014,8,6.311875,4.5665,3.6325256635609
Li-Wei,2015,6,5.61716666666667,5.087,1.95454131874122
Li-Wei,2016,13,11.0371538461538,9.108,8.39293793263275
Li-Xia,2010,2,6.9355,6.9355,0.388201622871415
Li-Xia,2011,2,5.5955,5.5955,2.28324779645136
Li-Xia,2012,3,4.43733333333333,4.258,1.47818142774604
Li-Xia,2013,7,4.34042857142857,3.257,1.72748659976885
Li-Xia,2014,3,5.25866666666667,3.981,2.86296425638416
Li-Xia,2015,6,6.085,5.7635,2.89644906739269
Li-Xia,2016,3,3.798,4.495,1.87814243336335
Li-Xia,2017,1,4.495,4.495,NA
Li-Xiao-Jiang,2013,2,7.3205,7.3205,1.97494923985403
Li-Xiao-Jiang,2014,7,9.28785714285714,9.423,4.72664833430524
Li-Xiao-Jiang,2015,11,7.55427272727273,6.51,3.58958566107313
Li-Xiao-Jiang,2016,6,6.22066666666667,5.539,1.69014551641764
Li-Xiao-Jiang,2017,1,5.228,5.228,NA
Li-Yafei,2013,3,6.661,7.142,2.15808410401448
Li-Yafei,2014,4,4.94525,4.5695,1.17856590114144
Li-Yafei,2015,2,4.367,4.367,1.85261976670875
Li-Yafei,2016,6,6.46383333333333,6.28,1.79263687529479
Li-Yunhai,2011,1,6.059,6.059,NA
Li-Yunhai,2012,2,6.339,6.339,1.23178001282697
Li-Yunhai,2013,2,7.409,7.409,1.59664711191922
Li-Yunhai,2014,3,6.167,5.468,2.11019264523408
Li-Yunhai,2015,5,6.9002,6.28,1.52453606057712
Li-Yunhai,2016,6,7.2875,6.89,2.59271893964618
Li-Yunhai,2017,1,10.042,10.042,NA
Li-Zhensheng,2010,2,3.519,3.519,0.65336666581637
Li-Zhensheng,2011,1,2.971,2.971,NA
Li-Zhensheng,2012,3,2.44266666666667,2.108,1.09890915608768
Li-Zhensheng,2013,1,38.138,38.138,NA
Li-Zhensheng,2014,4,3.21175,3.379,0.823674035445252
Li-Zhensheng,2015,4,5.346,5.1305,1.61497389039782
